amount_tsh,gps_height,population,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
100.0,263.0,58.0,1986.0,submersible,user-group,never pay,good,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,milky,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,salty,seasonal,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,62.0,345.0,2011.0,submersible,commercial,never pay,salty,enough,borehole,other,functional
200.0,1062.0,250.0,1987.0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,1645.0,200.0,1991.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,unknown,unknown,shallow well,hand pump,functional
500.0,200.0,260.0,2011.0,handpump,user-group,monthly,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump,functional
100.0,825.0,100.0,2000.0,handpump,user-group,never pay,salty,enough,shallow well,hand pump,functional
100.0,1348.0,230.0,2002.0,handpump,user-group,unknown,good,seasonal,shallow well,hand pump,non functional
25.0,710.0,50.0,2008.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,functional
100.0,1642.0,1.0,1980.0,motorpump,user-group,unknown,unknown,dry,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,wind-powered,user-group,on failure,good,enough,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,submersible,user-group,unknown,unknown,dry,borehole,communal standpipe,non functional
100.0,1703.0,456.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional needs repair
100.0,1670.0,1.0,1992.0,other,user-group,never pay,good,enough,shallow well,other,non functional
100.0,1538.0,225.0,2004.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
100.0,1415.0,1.0,1970.0,motorpump,user-group,unknown,unknown,dry,borehole,communal standpipe,non functional
100.0,1788.0,50.0,2010.0,rope pump,commercial,never pay,good,enough,borehole,hand pump,functional
200.0,303.0,280.0,1995.0,handpump,user-group,monthly,unknown,insufficient,shallow well,hand pump,non functional
100.0,1565.0,200.0,1991.0,handpump,user-group,other,good,insufficient,shallow well,hand pump,non functional
500.0,1153.0,1.0,2009.0,handpump,user-group,on failure,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,submersible,user-group,never pay,good,insufficient,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,non functional
500.0,1701.0,441.0,2000.0,handpump,user-group,monthly,good,enough,borehole,hand pump,functional
100.0,825.0,230.0,2000.0,motorpump,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional needs repair
100.0,212.0,280.0,2006.0,handpump,user-group,never pay,salty,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,milky,insufficient,shallow well,hand pump,non functional
500.0,1274.0,1430.0,1978.0,submersible,user-group,other,good,enough,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,submersible,commercial,per bucket,unknown,enough,borehole,communal standpipe,functional
100.0,98.0,110.0,1962.0,other,user-group,never pay,good,dry,shallow well,other,non functional
100.0,1128.0,256.0,2010.0,handpump,user-group,never pay,good,enough,borehole,hand pump,functional
50.0,701.0,1.0,2011.0,submersible,user-group,per bucket,good,enough,borehole,communal standpipe,functional needs repair
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,handpump,user-group,other,good,enough,borehole,hand pump,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,milky,enough,shallow well,hand pump,functional
100.0,445.0,90.0,1997.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
50.0,1348.0,1.0,2004.0,submersible,user-group,per bucket,salty,insufficient,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,enough,shallow well,other,functional
100.0,825.0,230.0,2000.0,gravity,user-group,never pay,good,enough,borehole,communal standpipe,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,good,dry,borehole,hand pump,non functional
50.0,1455.0,50.0,2000.0,motorpump,user-group,per bucket,good,insufficient,borehole,communal standpipe,functional
100.0,825.0,230.0,2000.0,handpump,user-group,unknown,good,enough,shallow well,hand pump,non functional
100.0,825.0,230.0,2000.0,other,user-group,never pay,colored,dry,shallow well,other,non functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,enough,shallow well,hand pump,functional
100.0,825.0,230.0,2000.0,other,user-group,unknown,milky,insufficient,shallow well,other,functional
100.0,825.0,230.0,2000.0,handpump,user-group,never pay,good,seasonal,shallow well,hand pump,non functional
30.0,11.0,1.0,2006.0,handpump,user-group,per bucket,good,insufficient,shallow well,hand pump,non functional
